id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
9633,Przemyslaw Frankowski,16,1217,4,2.0338533259928226,4,2.630047301761806,19,21,1,0,D M S,Lens,4,2.0338533259928226,9.19963901489973,5.640108408406377
9648,Elbasan Rashani,14,818,4,1.5539392344653606,2,1.7331224232912064,11,8,1,0,M S,Clermont Foot,4,1.5539392344653606,4.952025149017572,3.0192014556378126
10029,Alberth Elis,8,584,4,3.4650232158601284,0,0.46622645668685436,14,9,2,0,F S,Bordeaux,4,3.4650232158601284,3.6099888794124126,0.2012260491028428
83,Kevin Volland,15,1060,3,3.021286081522703,5,2.2295699175447226,24,13,5,0,F M S,Monaco,3,3.021286081522703,5.954880909994245,2.0392275992780924
552,Ander Herrera,12,764,3,0.8914460316300392,2,1.009025113657117,9,12,0,0,M S,Paris Saint Germain,3,0.8914460316300392,6.331542415544391,5.142867077142
668,Idrissa Gueye,12,906,3,0.5393482828512788,0,1.5049950666725636,13,11,0,0,M S,Paris Saint Germain,3,0.5393482828512788,6.243517145514488,4.726770430803299
1513,Mauro Icardi,12,533,3,3.1750760450959206,0,0.3699866980314255,11,5,1,0,F S,Paris Saint Germain,3,3.1750760450959206,3.824748434126377,0.3030471131205559
2099,Neymar,10,840,3,3.6688382029533386,3,2.8683767654001713,20,23,2,0,F M,Paris Saint Germain,2,2.9087430834770203,9.963017225265503,5.553030788898468
3297,Marquinhos,11,990,3,1.716219037771225,0,0.2585387071594596,9,4,2,0,D,Paris Saint Germain,3,1.716219037771225,6.5477285124361515,5.380090568214655
3309,Valère Germain,12,889,3,3.2183001302182674,1,0.24381318129599094,14,6,0,0,F S,Montpellier,3,3.2183001302182674,2.9596804287284613,0.4872224424034357
3348,Florian Sotoca,15,1066,3,5.64957788772881,4,2.638912276364863,31,15,3,0,F M S,Lens,1,4.129387618973851,7.8855565236881375,4.525394594296813
3487,Ismael Traoré,15,1350,3,1.8032078612595797,0,0.1317367209121585,9,2,0,0,D,Angers,3,1.8032078612595797,1.4887765180319548,1.4653997961431742
3553,Ángel Di María,10,701,3,2.205973368138075,3,3.3253284208476543,21,23,2,0,F M S,Paris Saint Germain,3,2.205973368138075,6.360774222761393,2.433281008154154
3781,Denis Bouanga,15,1021,3,3.4148516710847616,0,0.6911618690937757,40,10,2,0,D F M S,Saint-Etienne,3,3.4148516710847616,3.9866819214075804,0.6673546470701694
5197,Achraf Hakimi,15,1154,3,0.988095834851265,2,2.6273591071367264,10,13,1,1,D S,Paris Saint Germain,3,0.988095834851265,8.332995627075434,5.876017861068249
5733,Houssem Aouar,15,1188,3,3.5602878220379353,2,2.0660778507590294,33,13,0,0,F M S,Lyon,3,3.5602878220379353,9.293917633593082,4.561486504971981
5759,Matteo Guendouzi,15,1226,3,1.4741975851356983,3,1.324083155952394,19,14,2,0,M S,Marseille,3,1.4741975851356983,7.753400973975658,6.044255398213863
6112,Andrei Girotto,16,1390,3,1.4858571784570813,0,0.7822527289390564,22,5,3,0,D M,Nantes,3,1.4858571784570813,2.161835554987192,1.318238329142332
6238,Ignatius Ganago,11,571,3,2.248530048877001,0,0.4637878015637398,17,5,2,0,F S,Lens,3,2.248530048877001,3.428847163915634,0.8155780993402004
